function_name,total_time,call_count,avg_time,cpu_time,wait_time,memory_usage,file
_parse_local_version,5.000000000000001e-07,2,2.5000000000000004e-07,5.000000000000001e-07,0.0,,__init__.py
usesTime,0.0005199,156,3.3326923076923076e-06,0.0002944,0.0002255,,__init__.py
<genexpr>,8.200000000000001e-06,8,1.0250000000000001e-06,8.200000000000001e-06,0.0,,__init__.py
__init__,1.7e-06,2,8.5e-07,1.7e-06,0.0,,__init__.py
<lambda>,9.000000000000001e-07,4,2.2500000000000002e-07,9.000000000000001e-07,0.0,,__init__.py
_open,0.0005097000000000001,1,0.0005097000000000001,2.8000000000000003e-06,0.0005069000000000001,,__init__.py
handle,0.0411464,156,0.00026375897435897437,0.000635,0.0405114,,__init__.py
_parse_letter_version,1.9e-06,6,3.1666666666666667e-07,1.9e-06,0.0,,__init__.py
_checkLevel,4.000000000000001e-06,4,1.0000000000000002e-06,3.3e-06,7.000000000000005e-07,,__init__.py
filter,0.0002695,312,8.637820512820513e-07,0.0002695,0.0,,__init__.py
_addHandlerRef,8.1e-06,1,8.1e-06,4.6e-06,3.5000000000000004e-06,,__init__.py
__init__,2.37e-05,1,2.37e-05,7.000000000000001e-06,1.67e-05,,__init__.py
__init__,7.7e-06,1,7.7e-06,6e-06,1.7000000000000007e-06,,__init__.py
makeRecord,0.0141074,156,9.043205128205128e-05,0.0007608000000000001,0.0133466,,__init__.py
_args_from_interpreter_flags,0.0001896,12,1.58e-05,0.000133,5.6599999999999993e-05,,subprocess.py
_warn_if_deprecated,6.300000000000001e-06,4,1.5750000000000002e-06,2.2e-06,4.1000000000000006e-06,,config.py
isEnabledFor,0.00020130000000000001,156,1.2903846153846154e-06,0.00019030000000000002,1.0999999999999996e-05,,__init__.py
is_bool_dtype,2.6000000000000002e-05,3,8.666666666666668e-06,1.25e-05,1.3500000000000001e-05,,common.py
findCaller,0.008678400000000001,156,5.563076923076924e-05,0.0022638000000000003,0.006414600000000001,,__init__.py
_sequence_to_dt64,0.0008547,2,0.00042735,5.7e-05,0.0007977,,datetimes.py
__init__,0.0133466,156,8.555512820512821e-05,0.0047422,0.0086044,,__init__.py
__init__,0.0005665000000000001,1,0.0005665000000000001,1.74e-05,0.0005491000000000001,,__init__.py
_log,2.7510629,156,0.01763501858974359,0.0012243,2.7498386,,__init__.py
pandas_dtype,1.5e-06,1,1.5e-06,9.000000000000001e-07,6e-07,,common.py
check_array_indexer,1.7800000000000002e-05,2,8.900000000000001e-06,1.7500000000000002e-05,3.000000000000005e-07,,utils.py
get_values_for_csv,0.0011862,5,0.00023724000000000003,5.6300000000000006e-05,0.0011299,,base.py
__finalize__,5.97e-05,4,1.4925e-05,4.7000000000000004e-05,1.2699999999999997e-05,,generic.py
_sanitize_ndim,2.2700000000000003e-05,11,2.063636363636364e-06,1.41e-05,8.600000000000002e-06,,construction.py
_isna_string_dtype,4.27e-05,2,2.135e-05,4.27e-05,0.0,,missing.py
_sanitize_str_dtypes,1.5e-05,11,1.3636363636363636e-06,1.18e-05,3.2e-06,,construction.py
ensure_wrapped_if_datetimelike,0.00013560000000000002,9,1.506666666666667e-05,2.92e-05,0.00010640000000000001,,construction.py
iterencode,0.0032366,127,2.548503937007874e-05,0.0032366,0.0,,encoder.py
_is_dtype_type,6.5000000000000004e-06,2,3.2500000000000002e-06,3.3e-06,3.2000000000000003e-06,,common.py
_isna_array,7.890000000000001e-05,4,1.9725000000000002e-05,2.9800000000000003e-05,4.91e-05,,missing.py
_isna,0.00011090000000000001,5,2.218e-05,2.4800000000000003e-05,8.61e-05,,missing.py
sanitize_array,0.0005897000000000001,11,5.360909090909092e-05,0.00011930000000000001,0.00047040000000000005,,construction.py
__getitem__,5.28e-05,2,2.64e-05,3.16e-05,2.12e-05,,_mixins.py
_validate_tz_from_dtype,3.3e-06,4,8.25e-07,2.5e-06,8e-07,,datetimes.py
_construct_from_dt64_naive,7.6e-06,2,3.8e-06,7.6e-06,0.0,,datetimes.py
is_bool_indexer,2.85e-05,1,2.85e-05,9.4e-06,1.9100000000000003e-05,,common.py
_get_filepath_or_buffer,0.0001921,1,0.0001921,2.64e-05,0.00016570000000000002,,common.py
maybe_convert_dtype,5.11e-05,2,2.555e-05,9.800000000000001e-06,4.13e-05,,datetimes.py
_get_getitem_freq,9.4e-06,2,4.7e-06,5.600000000000001e-06,3.799999999999999e-06,,datetimelike.py
_form_blocks,0.0003087,2,0.00015435,7.97e-05,0.00022900000000000004,,managers.py
__setattr__,6.71e-05,11,6.1e-06,5.03e-05,1.6800000000000002e-05,,generic.py
ensure_arraylike_for_datetimelike,3.3e-05,2,1.65e-05,1.0700000000000001e-05,2.23e-05,,datetimelike.py
_engine,0.0001831,3,6.103333333333334e-05,8.970000000000001e-05,9.34e-05,,base.py
dict_to_mgr,0.0006069000000000001,1,0.0006069000000000001,2.6600000000000003e-05,0.0005803000000000001,,construction.py
_validate_dt64_dtype,1.01e-05,2,5.05e-06,7.3e-06,2.7999999999999994e-06,,datetimes.py
<module>,0.0026605,1,0.0026605,6.8e-05,0.0025925,,__init__.py
_get_engine_target,6.25e-05,3,2.0833333333333333e-05,1.3100000000000002e-05,4.94e-05,,base.py
_extract_index,3.27e-05,1,3.27e-05,1.5e-05,1.7700000000000003e-05,,construction.py
_ixs,0.00027790000000000003,2,0.00013895000000000002,1.9e-05,0.00025890000000000006,,frame.py
_getitem_axis,0.0002119,1,0.0002119,4.6e-06,0.0002073,,indexing.py
apply,0.0012209,2,0.00061045,3.2200000000000003e-05,0.0011887,,managers.py
__init__,0.006917700000000001,2,0.0034588500000000003,6.47e-05,0.006853000000000001,,frame.py
__getitem__,8.510000000000001e-05,5,1.7020000000000003e-05,4.07e-05,4.440000000000001e-05,,base.py
view,3.8900000000000004e-05,2,1.9450000000000002e-05,6.5000000000000004e-06,3.24e-05,,base.py
_initialize_colspace,1.0000000000000001e-07,1,1.0000000000000001e-07,1.0000000000000001e-07,0.0,,format.py
__delitem__,0.0003189,1,0.0003189,1.22e-05,0.0003067,,generic.py
_get_value,0.00015030000000000002,4,3.7575000000000005e-05,1.5700000000000002e-05,0.00013460000000000002,,frame.py
to_arrays,0.0056084,1,0.0056084,1.27e-05,0.0055957,,construction.py
_homogenize,0.00025770000000000003,2,0.00012885000000000001,2.4200000000000002e-05,0.00023350000000000004,,construction.py
mgr_to_mgr,1.9e-06,2,9.5e-07,1.7e-06,2e-07,,construction.py
arrays_to_mgr,0.000684,2,0.000342,1.7800000000000002e-05,0.0006662,,construction.py
__getitem__,0.00024870000000000003,1,0.00024870000000000003,2.2000000000000003e-05,0.00022670000000000004,,frame.py
