         130955 function calls (129194 primitive calls) in 33.150 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    1.004    0.100 C:\Users\spinz\anaconda3\Lib\site-packages\memory_profiler.py:269(memory_usage)
       72    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       12    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\spawn.py:83(get_command_line)
      9/8    0.000    0.000   33.672    4.209 C:\Users\spinz\anaconda3\Lib\threading.py:637(wait)
       12    0.000    0.000    0.089    0.007 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:110(start)
      184    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:37(current_process)
      157    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
       12    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:61(_cleanup)
      158    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:308(_release_save)
        9    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
       13    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\util.py:189(__init__)
       48    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\reduction.py:106(__init__)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      312    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:139(_check_readable)
        7    0.000    0.000   63.736    9.105 C:\Users\spinz\anaconda3\Lib\threading.py:1155(_wait_for_tstate_lock)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\arrays\datetimes.py:744(_format_native_types)
        1    0.000    0.000    0.004    0.004 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:1(<module>)
       11    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
       69    0.000    0.000    0.008    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:386(disp_trim)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\cast.py:124(maybe_convert_platform)
      6/5    0.000    0.000    0.006    0.001 C:\Users\spinz\anaconda3\Lib\threading.py:975(start)
     11/6    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
       31    0.000    0.000    0.003    0.000 C:\Users\spinz\anaconda3\Lib\json\__init__.py:183(dumps)
        1    0.000    0.000    0.001    0.001 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\formats\csvs.py:315(_save_chunk)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:884(__init__)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        3    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:475(__new__)
      219    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\spawn.py:92(<genexpr>)
       59    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:891(_list_of_dict_to_arrays)
       10    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\memory_profiler.py:1201(choose_backend)
        6    0.000    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:1028(convert)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       10    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:334(_init)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\arrays\datetimes.py:2354(objects_to_datetime64)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\ctypes\__init__.py:49(create_string_buffer)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:2190(_form_blocks)
       10    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\memory_profiler.py:117(_get_memory)
       10    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\memory_profiler.py:132(ps_util_tool)
       27    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:63(__iter__)
        1    0.000    0.000    0.002    0.002 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:1(<module>)
      294    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000   31.206   31.206 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:573(_handle_results)
       24    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\context.py:369(set_spawning_popen)
